JobID|JobName|MaxRSS|Elapsed|ReqMem|
35256075_74.batch|batch|9348K|00:07:38|1Gn|
35256075_74.extern|extern|772K|00:07:38|1Gn|
35256075_75|kplr000893647array.sh||00:07:43|1Gn|
35256075_75.batch|batch|9352K|00:07:43|1Gn|
35256075_75.extern|extern|776K|00:07:43|1Gn|
35256075_76|kplr000893647array.sh||00:07:13|1Gn|
35256075_76.batch|batch|9348K|00:07:13|1Gn|
35256075_76.extern|extern|772K|00:07:13|1Gn|
35256075_77|kplr000893647array.sh||00:07:07|1Gn|
35256075_77.batch|batch|9356K|00:07:07|1Gn|
35256075_77.extern|extern|772K|00:07:07|1Gn|
35256075_78|kplr000893647array.sh||00:06:49|1Gn|
35256075_78.batch|batch|9340K|00:06:49|1Gn|
35256075_78.extern|extern|776K|00:06:49|1Gn|
35256075_79|kplr000893647array.sh||00:06:48|1Gn|
35256075_79.batch|batch|9340K|00:06:48|1Gn|
35256075_79.extern|extern|772K|00:06:48|1Gn|
35256075_80|kplr000893647array.sh||00:06:35|1Gn|
35256075_80.batch|batch|9356K|00:06:35|1Gn|
35256075_80.extern|extern|772K|00:06:35|1Gn|
35256075_81|kplr000893647array.sh||00:06:31|1Gn|
35256075_81.batch|batch|9352K|00:06:31|1Gn|
35256075_81.extern|extern|776K|00:06:31|1Gn|
35256075_82|kplr000893647array.sh||00:06:17|1Gn|
35256075_82.batch|batch|9344K|00:06:17|1Gn|
35256075_82.extern|extern|776K|00:06:17|1Gn|
35256075_83|kplr000893647array.sh||00:06:21|1Gn|
35256075_83.batch|batch|9344K|00:06:21|1Gn|
35256075_83.extern|extern|780K|00:06:22|1Gn|
35256075_84|kplr000893647array.sh||00:06:12|1Gn|
35256075_84.batch|batch|9340K|00:06:12|1Gn|
35256075_84.extern|extern|772K|00:06:12|1Gn|
35256075_85|kplr000893647array.sh||00:06:01|1Gn|
35256075_85.batch|batch|9352K|00:06:01|1Gn|
35256075_85.extern|extern|776K|00:06:01|1Gn|
35256075_86|kplr000893647array.sh||00:04:35|1Gn|
35256075_86.batch|batch|9360K|00:04:35|1Gn|
35256075_86.extern|extern|748K|00:04:35|1Gn|
35256075_87|kplr000893647array.sh||00:04:38|1Gn|
35256075_87.batch|batch|9344K|00:04:38|1Gn|
35256075_87.extern|extern|764K|00:04:38|1Gn|
35256075_88|kplr000893647array.sh||00:04:35|1Gn|
35256075_88.batch|batch|9348K|00:04:35|1Gn|
35256075_88.extern|extern|768K|00:04:35|1Gn|
35256075_89|kplr000893647array.sh||00:04:30|1Gn|
35256075_89.batch|batch|9344K|00:04:30|1Gn|
35256075_89.extern|extern|764K|00:04:30|1Gn|
35256075_90|kplr000893647array.sh||00:04:38|1Gn|
35256075_90.batch|batch|9332K|00:04:38|1Gn|
35256075_90.extern|extern|760K|00:04:38|1Gn|
35256075_91|kplr000893647array.sh||00:04:23|1Gn|
35256075_91.batch|batch|9336K|00:04:23|1Gn|
35256075_91.extern|extern|760K|00:04:23|1Gn|
35256075_92|kplr000893647array.sh||00:04:19|1Gn|
35256075_92.batch|batch|9340K|00:04:19|1Gn|
35256075_92.extern|extern|764K|00:04:19|1Gn|
35256075_93|kplr000893647array.sh||00:04:43|1Gn|
35256075_93.batch|batch|9344K|00:04:43|1Gn|
35256075_93.extern|extern|752K|00:04:43|1Gn|
35256075_94|kplr000893647array.sh||00:04:43|1Gn|
35256075_94.batch|batch|9348K|00:04:43|1Gn|
35256075_94.extern|extern|748K|00:04:43|1Gn|
35256075_95|kplr000893647array.sh||00:04:33|1Gn|
35256075_95.batch|batch|9348K|00:04:33|1Gn|
35256075_95.extern|extern|752K|00:04:33|1Gn|
35256075_96|kplr000893647array.sh||00:04:12|1Gn|
35256075_96.batch|batch|9336K|00:04:12|1Gn|
35256075_96.extern|extern|748K|00:04:13|1Gn|
35256075_97|kplr000893647array.sh||00:03:52|1Gn|
35256075_97.batch|batch|9340K|00:03:52|1Gn|
35256075_97.extern|extern|752K|00:03:52|1Gn|
35256075_98|kplr000893647array.sh||00:03:48|1Gn|
35256075_98.batch|batch|9344K|00:03:48|1Gn|
35256075_98.extern|extern|752K|00:03:48|1Gn|
35256075_99|kplr000893647array.sh||00:03:42|1Gn|
35256075_99.batch|batch|9348K|00:03:42|1Gn|
35256075_99.extern|extern|748K|00:03:42|1Gn|
35256075_100|kplr000893647array.sh||00:03:58|1Gn|
35256075_100.batch|batch|9340K|00:03:58|1Gn|
35256075_100.extern|extern|752K|00:03:58|1Gn|
35256075_101|kplr000893647array.sh||01:17:30|1Gn|
35256075_101.batch|batch|9352K|01:17:30|1Gn|
35256075_101.extern|extern|752K|01:17:30|1Gn|
35256075_102|kplr000893647array.sh||01:26:37|1Gn|
35256075_102.batch|batch|9352K|01:26:37|1Gn|
35256075_102.extern|extern|752K|01:26:37|1Gn|
35256075_103|kplr000893647array.sh||00:56:48|1Gn|
35256075_103.batch|batch|9348K|00:56:48|1Gn|
35256075_103.extern|extern|744K|00:56:48|1Gn|
35256075_104|kplr000893647array.sh||00:42:52|1Gn|
